epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,23144.7,0.55718,0.69076,0.35458,0.80405,0.99284,0.97947,0.99127,0.90744,0.96734,0.95344,0.96653,0.53881,0.45345,0.81281,0.29466,0.79124,0.009043,0.009043,0.009043
31,23911.5,0.55762,0.68223,0.34652,0.80398,0.99348,0.9811,0.99239,0.91614,0.96613,0.94987,0.96575,0.56773,0.44146,0.77495,0.2845,0.78909,0.00901,0.00901,0.00901
32,24679.9,0.55483,0.68958,0.34587,0.80293,0.99322,0.9807,0.99294,0.9058,0.96802,0.95527,0.97006,0.5666,0.45282,0.72516,0.28522,0.7907,0.008977,0.008977,0.008977
33,25450.6,0.55596,0.70132,0.34741,0.80181,0.9928,0.97693,0.99181,0.90974,0.97154,0.95345,0.96983,0.56499,0.44733,0.73737,0.28709,0.7892,0.008944,0.008944,0.008944
34,26220.7,0.54895,0.68078,0.34474,0.80281,0.99108,0.98079,0.99299,0.92059,0.96995,0.95399,0.9729,0.57595,0.42017,0.68618,0.27804,0.78773,0.008911,0.008911,0.008911
35,26989.3,0.54919,0.6724,0.34276,0.80057,0.99321,0.98206,0.9926,0.91841,0.96697,0.95094,0.96775,0.56569,0.43172,0.75232,0.27855,0.78824,0.008878,0.008878,0.008878
36,27759.2,0.54175,0.67224,0.33829,0.80074,0.99454,0.98096,0.99248,0.92239,0.96866,0.95096,0.97106,0.56103,0.42802,0.71643,0.2765,0.78882,0.008845,0.008845,0.008845
37,28525.7,0.5438,0.67293,0.34109,0.80071,0.99245,0.97964,0.992,0.91696,0.97117,0.95878,0.97481,0.57996,0.4274,0.76152,0.27407,0.78688,0.008812,0.008812,0.008812
38,29292.1,0.54457,0.67667,0.34141,0.80251,0.99367,0.97768,0.99198,0.9198,0.97504,0.95272,0.97394,0.57103,0.42992,0.72662,0.27551,0.78837,0.008779,0.008779,0.008779
39,30060.7,0.53898,0.67214,0.33626,0.80046,0.99091,0.98015,0.99306,0.92463,0.97415,0.95349,0.97522,0.58188,0.42147,0.71796,0.27538,0.7877,0.008746,0.008746,0.008746
